DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2024-07-08,127.48999786376952,128.1999969482422,null,-1,-1,100000,0,0,100000,0,0,0.0
2024-07-09,130.35000610351563,131.3800048828125,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-10,134.02999877929688,134.91000366210938,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-11,135.75,127.4000015258789,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-12,128.25999450683594,129.24000549316406,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-15,130.55999755859375,128.44000244140625,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-16,128.44000244140625,126.36000061035156,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-17,121.3499984741211,117.98999786376952,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-18,121.8499984741211,121.08999633789063,null,-1,-1,100000,0,0,100000,-0,-0,0.0
2024-07-19,120.3499984741211,117.93000030517578,null,126.29400100708008,-1,100000,0,0,100000,-0,-0,0.0
2024-07-22,120.3499984741211,123.54000091552734,null,125.8280014038086,-1,100000,0,0,100000,-0,-0,0.0
2024-07-23,122.77999877929688,122.58999633789063,null,124.94900054931641,-1,100000,0,0,100000,-0,-0,0.0
2024-07-24,119.16999816894533,114.25,null,122.88300018310547,-1,100000,0,0,100000,-0,-0,0.0
2024-07-25,113.04000091552734,112.27999877929688,null,121.37099990844726,-1,100000,0,0,100000,-0,-0,0.0
2024-07-26,116.19000244140624,113.05999755859376,null,119.75299911499023,-1,100000,0,0,100000,-0,-0,0.0
2024-07-29,113.69000244140624,111.58999633789063,null,118.06799850463867,-1,100000,0,0,100000,-0,-0,0.0
2024-07-30,111.5199966430664,103.7300033569336,null,115.80499877929688,-1,100000,0,0,100000,-0,-0,0.0
2024-07-31,112.9000015258789,117.0199966430664,null,115.70799865722657,-1,100000,0,0,100000,-0,-0,0.0
2024-08-01,117.52999877929688,109.20999908447266,null,114.51999893188477,-1,100000,0,0,100000,-0,-0,0.0
2024-08-02,103.76000213623048,107.2699966430664,short,113.45399856567383,119.87399978637696,100000,0,0,100000,-0,-0,0.0
2024-08-05,92.05999755859376,100.4499969482422,short,111.1449981689453,118.48649978637695,197974.8524017334,-1075,-107983.74671936037,89991.10568237303,98964.4973754883,-989.6449737548974,92.05999755859376
2024-08-06,103.83999633789063,104.25,short,109.31099853515624,117.12999954223633,197974.8524017334,-1075,-112068.75,85906.1024017334,-0,-0,92.05999755859376
2024-08-07,107.80999755859376,98.91000366210938,short,107.7769989013672,115.32999954223632,197974.8524017334,-1075,-106328.25393676758,91646.59846496582,-0,-0,92.05999755859376
2024-08-08,102,104.97000122070313,short,107.0459991455078,114.20849952697753,197974.8524017334,-1075,-112842.75131225586,85132.10108947754,-0,-0,92.05999755859376
2024-08-09,105.63999938964844,104.75,short,106.21499938964844,112.98399925231934,197974.8524017334,-1075,-112606.25,85368.6024017334,-0,-0,92.05999755859376
2024-08-12,106.31999969482422,109.0199966430664,short,105.95799942016602,112.01299896240235,197974.8524017334,-1075,-117196.49639129639,80778.35601043701,-0,-0,92.05999755859376
2024-08-13,112.44000244140624,116.13999938964844,short,107.1989990234375,111.50199890136719,197974.8524017334,-1075,-124850.49934387207,73124.35305786133,-0,-0,92.05999755859376
2024-08-14,118.52999877929688,118.08000183105467,short,107.30499954223633,111.50649909973144,197974.8524017334,-1075,-126936.00196838377,71038.85043334962,-0,-0,92.05999755859376
2024-08-15,118.76000213623048,122.86000061035156,short,108.66999969482421,111.59499931335449,197974.8524017334,-1075,-132074.50065612793,65900.35174560547,-0,-0,92.05999755859376
