DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2025-03-27,111.3499984741211,111.43000030517578,buy,116.99800109863281,116.01300010681152,100000,0,0,100000,-0,-0,0.0
2025-03-28,111.48999786376952,109.66999816894533,buy,115.39200134277344,115.25050010681153,6.850715942389797,888,97386.95837402345,97393.80908996584,-99003.11810302733,-990.031181030281,111.48999786376952
2025-03-31,105.12999725341795,108.37999725341795,short,112.78600006103515,114.96650009155273,6.850715942389797,888,96241.43756103514,96248.28827697753,-0,-0,111.48999786376952
2025-04-01,108.5199966430664,110.1500015258789,short,110.6779998779297,114.6745002746582,188877.22327346803,-870,-95830.50132751465,93046.72194595338,190778.15409851074,-1907.7815409851028,108.5199966430664
2025-04-02,107.29000091552734,110.41999816894533,short,110.00999908447265,114.33050003051758,188877.22327346803,-870,-96065.39840698244,92811.8248664856,-0,-0,108.5199966430664
2025-04-03,103.51000213623048,101.8000030517578,short,108.08399963378906,113.89200019836426,188877.22327346803,-870,-88566.00265502928,100311.22061843875,-0,-0,108.5199966430664
2025-04-04,98.91000366210938,94.30999755859376,short,105.01199951171876,112.97299995422364,188877.22327346803,-870,-82049.69787597658,106827.52539749145,-0,-0,108.5199966430664
2025-04-07,87.45999908447266,97.63999938964844,short,102.86399993896484,112.50599975585938,188877.22327346803,-870,-84946.79946899414,103930.42380447389,-0,-0,108.5199966430664
2025-04-08,103.80999755859376,96.3000030517578,short,100.09400024414063,111.88299980163575,188877.22327346803,-870,-83781.00265502928,105096.22061843875,-0,-0,108.5199966430664
2025-04-09,98.88999938964844,114.33000183105467,short,100.8760009765625,111.8125,188877.22327346803,-870,-99467.10159301756,89410.12168045047,-0,-0,108.5199966430664
2025-04-10,109.37000274658205,107.56999969482422,short,102.03000030517578,111.41199989318848,188877.22327346803,-870,-93585.89973449707,95291.32353897096,-0,-0,108.5199966430664
2025-04-11,108.5,110.93000030517578,short,105.35400085449218,110.875,188877.22327346803,-870,-96509.10026550293,92368.1230079651,-0,-0,108.5199966430664
2025-04-14,114.11000061035156,110.70999908447266,short,107.96800079345704,110.43400001525879,188877.22327346803,-870,-96317.69920349121,92559.52406997682,-0,-0,108.5199966430664
2025-04-15,110.97000122070313,112.1999969482422,buy,111.1479995727539,110.2724998474121,188877.22327346803,-870,-97613.99734497072,91263.22592849731,-0,-0,108.5199966430664
2025-04-16,104.5500030517578,104.48999786376952,short,109.17999877929688,109.62099990844726,72.46376235966454,918,95921.81803894042,95994.28180130008,-186935.40545654294,-1869.354054565425,104.5500030517578
2025-04-17,104.4499969482422,101.48999786376952,short,107.96399841308593,108.7689998626709,188063.65726974496,-900,-91340.99807739256,96722.6591923524,189890.09445190433,-1898.9009445190313,104.4499969482422
2025-04-21,98.7699966430664,96.91000366210938,short,105.15999908447266,107.72950019836426,188063.65726974496,-900,-87219.00329589844,100844.65397384652,-0,-0,104.4499969482422
2025-04-22,98.77999877929688,98.88999938964844,short,102.7959991455078,106.6034999847412,188063.65726974496,-900,-89000.9994506836,99062.65781906137,-0,-0,104.4499969482422
2025-04-23,104.5199966430664,102.70999908447266,short,100.8979995727539,105.70449981689453,188063.65726974496,-900,-92438.99917602539,95624.65809371957,-0,-0,104.4499969482422
2025-04-24,103.4800033569336,106.43000030517578,short,101.28600006103515,105.3379997253418,188063.65726974496,-900,-95787.0002746582,92276.65699508676,-0,-0,104.4499969482422
2025-04-25,106.8499984741211,111.01000213623048,short,103.19000091552735,105.31699981689454,188063.65726974496,-900,-99909.00192260744,88154.65534713752,-0,-0,104.4499969482422
2025-04-28,109.69000244140624,108.7300033569336,buy,105.55400085449219,105.27000007629394,188063.65726974496,-900,-97857.00302124023,90206.65424850472,-0,-0,104.4499969482422
2025-04-29,107.66999816894533,109.0199966430664,buy,107.58000030517579,105.30200004577637,40.616167297412176,829,90377.57721710205,90418.19338439946,-186161.42683410647,-1861.6142683410726,107.66999816894533
2025-04-30,104.47000122070313,108.91999816894533,buy,108.8220001220703,105.2404998779297,40.616167297412176,829,90294.67848205568,90335.29464935309,-0,-0,107.66999816894533
2025-05-01,113.08000183105467,111.61000061035156,buy,109.85800018310547,105.3,40.616167297412176,829,92524.69050598145,92565.30667327886,-0,-0,107.66999816894533
2025-05-02,114.18000030517578,114.5,buy,110.55599975585938,105.93499984741212,40.616167297412176,829,94920.5,94961.11616729741,-0,-0,107.66999816894533
2025-05-05,112.91000366210938,113.81999969482422,buy,111.5739990234375,106.91049995422364,40.616167297412176,829,94356.77974700928,94397.39591430669,-0,-0,107.66999816894533
2025-05-06,111.4800033569336,113.54000091552734,buy,112.47799987792969,107.70550003051758,40.616167297412176,829,94124.66075897217,94165.27692626958,-0,-0,107.66999816894533
2025-05-07,113.0500030517578,117.05999755859376,buy,114.10599975585937,108.74349975585938,40.616167297412176,829,97042.73797607423,97083.35414337165,-0,-0,107.66999816894533
2025-05-08,118.25,117.37000274658205,buy,115.25800018310547,108.89549980163574,40.616167297412176,829,97299.73227691652,97340.34844421393,-0,-0,107.66999816894533
2025-05-09,117.3499984741211,116.6500015258789,buy,115.68800048828125,109.34949989318848,40.616167297412176,829,96702.85126495361,96743.46743225103,-0,-0,107.66999816894533
2025-05-12,121.97000122070313,123,buy,117.52400054931641,109.95299987792968,40.616167297412176,829,101967,102007.61616729741,-0,-0,107.66999816894533
2025-05-13,124.9800033569336,129.92999267578125,buy,120.80199890136718,110.91399955749512,40.616167297412176,829,107711.96392822266,107752.58009552007,-0,-0,107.66999816894533
2025-05-14,133.1999969482422,135.33999633789063,buy,124.45799865722657,112.07099952697754,40.616167297412176,829,112196.85696411133,112237.47313140874,-0,-0,107.66999816894533
2025-05-15,134.2899932861328,134.8300018310547,buy,127.94999847412109,113.5879997253418,40.616167297412176,829,111774.07151794434,111814.68768524175,-0,-0,107.66999816894533
2025-05-16,136.22000122070313,135.39999389648438,buy,131.6999969482422,115.28349952697754,40.616167297412176,829,112246.59494018555,112287.21110748296,-0,-0,107.66999816894533
2025-05-19,132.38999938964844,135.57000732421875,buy,134.21399841308593,117.21649971008301,40.616167297412176,829,112387.53607177734,112428.15223907476,-0,-0,107.66999816894533
2025-05-20,134.2899932861328,134.3800048828125,buy,135.1040008544922,118.99099998474121,40.616167297412176,829,111401.02404785156,111441.64021514897,-0,-0,107.66999816894533
2025-05-21,133.05999755859375,131.8000030517578,buy,134.39600219726563,120.44550018310547,40.616167297412176,829,109262.20252990723,109302.81869720464,-0,-0,107.66999816894533
2025-05-22,132.22999572753906,132.8300018310547,buy,133.99600219726563,121.76550025939942,40.616167297412176,829,110116.07151794434,110156.68768524175,-0,-0,107.66999816894533
2025-05-23,130,131.2899932861328,buy,133.17400207519532,122.77949981689453,40.616167297412176,829,108839.4044342041,108880.02060150151,-0,-0,107.66999816894533
2025-05-27,134.14999389648438,135.5,buy,133.16000061035157,124.11799964904785,40.616167297412176,829,112329.5,112370.11616729741,-0,-0,107.66999816894533
2025-05-28,136.02999877929688,134.80999755859375,buy,133.24599914550782,125.40749969482422,40.616167297412176,829,111757.48797607422,111798.10414337163,-0,-0,107.66999816894533
2025-05-29,142.25,139.19000244140625,buy,134.7239990234375,126.92099990844727,40.616167297412176,829,115388.51202392578,115429.1281912232,-0,-0,107.66999816894533
2025-05-30,138.72000122070313,135.1300048828125,buy,135.18399963378906,128.0970001220703,40.616167297412176,829,112022.77404785156,112063.39021514897,-0,-0,107.66999816894533
2025-06-02,135.49000549316406,137.3800048828125,buy,136.402001953125,129.24100036621093,40.616167297412176,829,113888.02404785156,113928.64021514897,-0,-0,107.66999816894533
