DATE,OPEN,HIGH,LOW,CLOSE
2024-12-02 14:30:00 +00:00,237.27000427246097,240.7899932861328,237.16000366210935,239.58999633789065
2024-12-03 14:30:00 +00:00,239.80999755859375,242.7599945068359,238.8999938964844,242.6499938964844
2024-12-04 14:30:00 +00:00,242.8699951171875,244.11000061035156,241.25,243.0099945068359
2024-12-05 14:30:00 +00:00,243.9900054931641,244.5399932861328,242.1300048828125,243.0399932861328
2024-12-06 14:30:00 +00:00,242.91000366210935,244.6300048828125,242.0800018310547,242.83999633789065
2024-12-09 14:30:00 +00:00,241.8300018310547,247.2400054931641,241.75,246.75
2024-12-10 14:30:00 +00:00,246.88999938964844,248.2100067138672,245.33999633789065,247.77000427246097
2024-12-11 14:30:00 +00:00,247.9600067138672,250.8000030517578,246.2599945068359,246.4900054931641
2024-12-12 14:30:00 +00:00,246.88999938964844,248.7400054931641,245.67999267578125,247.9600067138672
2024-12-13 14:30:00 +00:00,247.82000732421875,249.2899932861328,246.2400054931641,248.1300048828125
2024-12-16 14:30:00 +00:00,247.9900054931641,251.3800048828125,247.6499938964844,251.0399932861328
2024-12-17 14:30:00 +00:00,250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753903
2024-12-18 14:30:00 +00:00,252.16000366210935,254.27999877929688,247.7400054931641,248.0500030517578
2024-12-19 14:30:00 +00:00,247.5,252,247.08999633789065,249.7899932861328
2024-12-20 14:30:00 +00:00,248.0399932861328,255,245.69000244140625,254.4900054931641
2024-12-23 14:30:00 +00:00,254.77000427246097,255.6499938964844,253.4499969482422,255.27000427246097
2024-12-24 14:30:00 +00:00,255.4900054931641,258.2099914550781,255.2899932861328,258.20001220703125
2024-12-26 14:30:00 +00:00,258.19000244140625,260.1000061035156,257.6300048828125,259.0199890136719
2024-12-27 14:30:00 +00:00,257.8299865722656,258.70001220703125,253.05999755859375,255.58999633789065
2024-12-30 14:30:00 +00:00,252.22999572753903,253.5,250.75,252.1999969482422
2024-12-31 14:30:00 +00:00,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453
