DATE,OPEN,CLOSE,CHOICES,INDIC1,INDIC2,ACCOUNT,POSITION,MKTVALUE,NETWORTH,FLOW,COMMISSION,HIST_PRICE
2025-05-08,112.27999877929688,119.1500015258789,buy,116.46900024414063,105.63650016784668,29.507369995117188,885,105447.75135040283,105477.25872039795,-0,-0,93.01499938964844
2025-05-09,118.97000122070313,117.3000030517578,buy,116.92100067138672,107.07200050354004,29.507369995117188,885,103810.50270080565,103840.01007080077,-0,-0,93.01499938964844
2025-05-12,120.77999877929688,118.45999908447266,buy,117.3020004272461,108.56750030517578,29.507369995117188,885,104837.0991897583,104866.60655975342,-0,-0,93.01499938964844
2025-05-13,119.91999816894533,128.10000610351563,buy,118.50400085449219,110.34150047302246,29.507369995117188,885,113368.50540161133,113398.01277160645,-0,-0,93.01499938964844
2025-05-14,129.00999450683594,130.17999267578125,buy,119.6779998779297,111.93050003051758,29.507369995117188,885,115209.2935180664,115238.80088806152,-0,-0,93.01499938964844
2025-05-15,128.3699951171875,128.1199951171875,buy,120.86999969482422,113.70099983215331,29.507369995117188,885,113386.19567871094,113415.70304870605,-0,-0,93.01499938964844
2025-05-16,129.22999572753906,129.52000427246094,buy,121.39400024414063,115.48800010681153,29.507369995117188,885,114625.20378112793,114654.71115112305,-0,-0,93.01499938964844
2025-05-19,124.71499633789063,126.33000183105467,buy,121.65000076293946,117.26450004577637,29.507369995117188,885,111802.05162048338,111831.5589904785,-0,-0,93.01499938964844
2025-05-20,127.22000122070313,125.58999633789063,buy,123.32300033569337,118.84449996948243,29.507369995117188,885,111147.1467590332,111176.65412902832,-0,-0,93.01499938964844
2025-05-21,125.16000366210938,120.58000183105467,buy,124.33300018310547,119.83250007629394,29.507369995117188,885,106713.30162048338,106742.8089904785,-0,-0,93.01499938964844
2025-05-22,121.9499969482422,122.29000091552734,buy,124.64700012207031,120.55800018310546,29.507369995117188,885,108226.6508102417,108256.15818023682,-0,-0,93.01499938964844
2025-05-23,120.87999725341795,123.30999755859376,buy,125.24799957275391,121.08450012207031,29.507369995117188,885,109129.34783935548,109158.8552093506,-0,-0,93.01499938964844
2025-05-27,126.81999969482422,123.38999938964844,buy,125.74099960327149,121.5215000152588,29.507369995117188,885,109200.14945983887,109229.65682983398,-0,-0,93.01499938964844
2025-05-28,124.2300033569336,123.76000213623048,buy,125.30699920654297,121.90550003051757,29.507369995117188,885,109527.60189056398,109557.1092605591,-0,-0,93.01499938964844
2025-05-29,125.3499984741211,122.31999969482422,buy,124.52099990844727,122.09949989318848,29.507369995117188,885,108253.19972991943,108282.70709991455,-0,-0,93.01499938964844
2025-05-30,123.52999877929688,131.77999877929688,buy,124.8870002746582,122.87849998474121,29.507369995117188,885,116625.29891967773,116654.80628967285,-0,-0,93.01499938964844
2025-06-02,131.43499755859375,132.0399932861328,buy,125.1389991760254,123.26649971008301,29.507369995117188,885,116855.39405822754,116884.90142822266,-0,-0,93.01499938964844
2025-06-03,133.07000732421875,133.1699981689453,buy,125.82299880981445,123.73649978637695,29.507369995117188,885,117855.4483795166,117884.95574951172,-0,-0,93.01499938964844
2025-06-04,132.8000030517578,130.00999450683594,buy,126.26499862670899,124.79399948120117,29.507369995117188,885,115058.8451385498,115088.35250854492,-0,-0,93.01499938964844
2025-06-05,129.27000427246094,119.91000366210938,buy,126.19799880981445,125.26549949645997,29.507369995117188,885,106120.3532409668,106149.86061096191,-0,-0,93.01499938964844
2025-06-06,123.7300033569336,127.72000122070313,buy,126.74099884033203,125.69399948120117,29.507369995117188,885,113032.20108032227,113061.70845031738,-0,-0,93.01499938964844
2025-06-09,127.0749969482422,132.05999755859375,buy,127.61599884033203,126.43199920654297,29.507369995117188,885,116873.09783935547,116902.60520935059,-0,-0,93.01499938964844
2025-06-10,131.02000427246094,132.80999755859375,buy,128.55799865722656,127.14949913024903,29.507369995117188,885,117536.84783935547,117566.35520935059,-0,-0,93.01499938964844
2025-06-11,133.9199981689453,136.38999938964844,buy,129.82099838256835,127.56399879455566,29.507369995117188,885,120705.14945983887,120734.65682983398,-0,-0,93.01499938964844
2025-06-12,136.39999389648438,135.19000244140625,buy,131.10799865722657,127.81449928283692,29.507369995117188,885,119643.15216064453,119672.65953063965,-0,-0,93.01499938964844
2025-06-13,133.81500244140625,137.39999389648438,buy,131.6699981689453,128.27849922180175,29.507369995117188,885,121598.99459838867,121628.50196838379,-0,-0,93.01499938964844
2025-06-16,140.02999877929688,141.41000366210938,buy,132.60699920654298,128.87299919128418,29.507369995117188,885,125147.8532409668,125177.36061096191,-0,-0,93.01499938964844
2025-06-17,141.48500061035156,138.1999969482422,buy,133.10999908447266,129.46649894714355,29.507369995117188,885,122306.99729919434,122336.50466918945,-0,-0,93.01499938964844
2025-06-18,139.0399932861328,139.9600067138672,buy,134.1050003051758,130.18499946594238,29.507369995117188,885,123864.60594177246,123894.11331176758,-0,-0,93.01499938964844
2025-06-20,140.69000244140625,137.3000030517578,buy,135.84400024414063,131.02099952697753,29.507369995117188,885,121510.50270080566,121540.01007080078,-0,-0,93.01499938964844
2025-06-23,138.89999389648438,139.9199981689453,buy,137.06399993896486,131.90249938964843,29.507369995117188,885,123829.1983795166,123858.70574951172,-0,-0,93.01499938964844
2025-06-24,140.97999572753906,143.22999572753906,buy,138.18099975585938,132.89849929809571,29.507369995117188,885,126758.54621887207,126788.05358886719,-0,-0,93.01499938964844
2025-06-25,144.49000549316406,142.89999389648438,buy,139.18999938964845,133.8739990234375,29.507369995117188,885,126466.49459838867,126496.00196838379,-0,-0,93.01499938964844
2025-06-26,144.85000610351563,144.25,buy,139.9759994506836,134.89849891662598,29.507369995117188,885,127661.25,127690.75736999512,-0,-0,93.01499938964844
2025-06-27,144.8699951171875,130.74000549316406,buy,139.53099975585937,135.31949920654296,29.507369995117188,885,115704.9048614502,115734.41223144531,-0,-0,93.01499938964844
2025-06-30,137.7899932861328,136.32000732421875,buy,139.42300109863282,135.54649963378907,29.507369995117188,885,120643.2064819336,120672.71385192871,-0,-0,93.01499938964844
2025-07-01,135.27000427246094,130.67999267578125,buy,138.35,135.47849960327147,29.507369995117188,885,115651.7935180664,115681.30088806152,-0,-0,93.01499938964844
2025-07-02,131.47000122070313,132.1199951171875,buy,137.74199981689452,135.4259994506836,29.507369995117188,885,116926.19567871094,116955.70304870605,-0,-0,93.01499938964844
2025-07-03,134.36000061035156,134.36000061035156,buy,137.18199920654297,135.64349975585938,29.507369995117188,885,118908.60054016113,118938.10791015625,-0,-0,93.01499938964844
2025-07-07,134.3800048828125,139.1199951171875,buy,137.36399841308594,136.60399932861327,29.507369995117188,885,123121.19567871094,123150.70304870605,-0,-0,93.01499938964844
2025-07-08,138.77499389648438,139.7100067138672,buy,137.34299926757814,137.2034996032715,29.507369995117188,885,123643.35594177246,123672.86331176758,-0,-0,93.01499938964844
2025-07-09,139.65499877929688,143.1300048828125,short,137.33300018310547,137.75699996948242,29.507369995117188,885,126670.05432128906,126699.56169128418,-0,-0,93.01499938964844
2025-07-10,143.30999755859375,142.5,short,137.29300079345703,138.24150009155272,253688.20304870605,-885,-126112.5,127575.70304870605,253658.69567871094,-0,143.30999755859375
2025-07-11,142.11000061035156,142.10000610351563,short,137.0780014038086,138.5270004272461,253688.20304870605,-885,-125758.50540161133,127929.69764709473,-0,-0,143.30999755859375
2025-07-14,142.72000122070313,149.14999389648438,short,138.91900024414062,139.225,253688.20304870605,-885,-131997.74459838867,121690.45845031738,-0,-0,143.30999755859375
