close,indicator
227.47999572753903,-1
226.9600067138672,-1
224.22999572753903,-1
224.22999572753903,-1
225.1199951171875,82.04413252402566
228.22000122070313,83.25816929888106
225,72.19424920127727
228.02000427246097,73.29191663586421
228.27999877929688,59.94289406587233
229,59.449798961605076
228.52000427246097,65.49031067087822
229.8699951171875,82.56657701061219
232.8699951171875,79.13038093932443
235.05999755859375,80.35463738972351
234.92999267578125,78.97799162434418
237.3300018310547,NaN
239.58999633789065,NaN
242.6499938964844,NaN
243.0099945068359,NaN
243.0399932861328,67.29745735892497
242.83999633789065,77.59845580547487
