DATE,CLOSE,CHOICES,INDIC1,INDIC2
2024-02-09,188.8500061035156,null,-1,-1
2024-02-12,187.1499938964844,null,-1,-1
2024-02-13,185.0399932861328,null,-1,-1
2024-02-14,184.1499938964844,null,-1,-1
2024-02-15,183.86000061035156,null,185.80999755859375,-1
2024-02-16,182.30999755859375,null,184.5019958496094,-1
2024-02-20,181.55999755859375,null,183.38399658203124,-1
2024-02-21,182.32000732421875,null,182.83999938964843,-1
2024-02-22,184.3699951171875,null,182.88399963378907,-1
2024-02-23,182.52000427246097,short,182.61600036621093,184.21299896240234
2024-02-26,181.16000366210935,short,182.38600158691406,183.44399871826172
2024-02-27,182.6300048828125,short,182.60000305175782,182.99199981689452
2024-02-28,181.4199981689453,short,182.4200012207031,182.63000030517577
2024-02-29,180.75,short,181.6960021972656,182.29000091552734
2024-03-01,179.66000366210938,short,181.1240020751953,181.87000122070313
2024-03-04,175.10000610351563,short,179.91200256347656,181.1490020751953
2024-03-05,170.1199951171875,short,177.41000061035157,180.0050018310547
2024-03-06,169.1199951171875,short,174.95,178.68500061035155
2024-03-07,169,short,172.6,177.14800109863282
2024-03-08,170.72999572753906,null,170.81399841308593,175.96900024414063
